,train,val,test
slide_111,True,False,False
slide_113,True,False,False
slide_114,True,False,False
slide_115,True,False,False
slide_117,True,False,False
slide_118,True,False,False
slide_119,True,False,False
slide_120,True,False,False
slide_121,True,False,False
slide_122,True,False,False
slide_123,True,False,False
slide_124,True,False,False
slide_126,True,False,False
slide_128,True,False,False
slide_129,True,False,False
slide_130,True,False,False
slide_131,True,False,False
slide_132,True,False,False
slide_133,True,False,False
slide_134,True,False,False
slide_135,True,False,False
slide_137,True,False,False
slide_138,True,False,False
slide_139,True,False,False
slide_140,True,False,False
slide_141,True,False,False
slide_142,True,False,False
slide_144,True,False,False
slide_145,True,False,False
slide_146,True,False,False
slide_150,True,False,False
slide_151,True,False,False
slide_152,True,False,False
slide_153,True,False,False
slide_154,True,False,False
slide_156,True,False,False
slide_157,True,False,False
slide_158,True,False,False
slide_161,True,False,False
slide_162,True,False,False
slide_163,True,False,False
slide_165,True,False,False
slide_168,True,False,False
slide_169,True,False,False
slide_170,True,False,False
slide_171,True,False,False
slide_172,True,False,False
slide_173,True,False,False
slide_174,True,False,False
slide_175,True,False,False
slide_178,True,False,False
slide_179,True,False,False
slide_181,True,False,False
slide_182,True,False,False
slide_183,True,False,False
slide_186,True,False,False
slide_188,True,False,False
slide_189,True,False,False
slide_191,True,False,False
slide_192,True,False,False
slide_193,True,False,False
slide_195,True,False,False
slide_196,True,False,False
slide_197,True,False,False
slide_198,True,False,False
slide_199,True,False,False
slide_200,True,False,False
slide_201,True,False,False
slide_202,True,False,False
slide_204,True,False,False
slide_205,True,False,False
slide_207,True,False,False
slide_208,True,False,False
slide_209,True,False,False
slide_212,True,False,False
slide_213,True,False,False
slide_214,True,False,False
slide_215,True,False,False
slide_216,True,False,False
slide_217,True,False,False
slide_218,True,False,False
slide_219,True,False,False
slide_220,True,False,False
slide_222,True,False,False
slide_223,True,False,False
slide_224,True,False,False
slide_225,True,False,False
slide_227,True,False,False
slide_228,True,False,False
slide_229,True,False,False
slide_231,True,False,False
slide_232,True,False,False
slide_233,True,False,False
slide_234,True,False,False
slide_235,True,False,False
slide_236,True,False,False
slide_237,True,False,False
slide_238,True,False,False
slide_239,True,False,False
slide_240,True,False,False
slide_241,True,False,False
slide_242,True,False,False
slide_244,True,False,False
slide_245,True,False,False
slide_246,True,False,False
slide_247,True,False,False
slide_248,True,False,False
slide_250,True,False,False
slide_252,True,False,False
slide_253,True,False,False
slide_254,True,False,False
slide_258,True,False,False
slide_259,True,False,False
slide_260,True,False,False
slide_261,True,False,False
slide_262,True,False,False
slide_263,True,False,False
slide_264,True,False,False
slide_265,True,False,False
slide_266,True,False,False
slide_267,True,False,False
slide_268,True,False,False
slide_269,True,False,False
