val,test,train
slide_593,slide_872,slide_816
slide_216,slide_920,slide_817
slide_74,slide_905,slide_818
slide_931,slide_915,slide_820
slide_125,slide_848,slide_821
slide_167,slide_830,slide_822
slide_293,slide_929,slide_823
slide_356,slide_856,slide_824
slide_124,slide_893,slide_827
slide_198,slide_886,slide_828
slide_742,slide_97,slide_831
slide_68,slide_126,slide_832
slide_381,slide_314,slide_833
,slide_96,slide_834
,slide_197,slide_835
,slide_483,slide_836
,slide_398,slide_837
,slide_195,slide_838
,slide_485,slide_839
,slide_227,slide_841
,slide_210,slide_842
,slide_185,slide_843
,slide_400,slide_845
,slide_94,slide_846
,slide_156,slide_847
,slide_446,slide_849
,slide_461,slide_851
,slide_357,slide_853
,slide_51,slide_854
,slide_369,slide_860
,slide_30,slide_861
,slide_449,slide_863
,slide_271,slide_864
,slide_431,slide_865
,slide_35,slide_866
,slide_343,slide_867
,slide_204,slide_868
,slide_202,slide_869
,slide_399,slide_870
,slide_436,slide_871
,slide_90,slide_873
,slide_475,slide_874
,slide_144,slide_875
,slide_320,slide_876
,slide_26,slide_877
,slide_516,slide_878
,slide_347,slide_879
,slide_256,slide_880
,slide_304,slide_881
,slide_435,slide_882
,slide_501,slide_883
,slide_806,slide_885
,slide_764,slide_887
,slide_711,slide_888
,slide_529,slide_889
,slide_765,slide_891
,slide_525,slide_892
,slide_788,slide_894
,slide_520,slide_895
,slide_577,slide_897
,slide_579,slide_898
,slide_530,slide_899
,slide_740,slide_901
,slide_612,slide_902
,slide_705,slide_903
,slide_798,slide_904
,slide_598,slide_906
,slide_721,slide_907
,slide_580,slide_909
,slide_576,slide_910
,slide_794,slide_911
,slide_710,slide_912
,slide_815,slide_914
,slide_766,slide_916
,slide_623,slide_917
,slide_542,slide_918
,,slide_919
,,slide_921
,,slide_922
,,slide_923
,,slide_925
,,slide_926
,,slide_927
,,slide_928
,,slide_932
,,slide_935
,,slide_936
,,slide_0
,,slide_1
,,slide_11
,,slide_104
,,slide_106
,,slide_107
,,slide_109
,,slide_110
,,slide_111
,,slide_112
,,slide_113
,,slide_12
,,slide_114
,,slide_115
,,slide_116
,,slide_117
,,slide_118
,,slide_119
,,slide_120
,,slide_121
,,slide_122
,,slide_123
,,slide_13
,,slide_127
,,slide_128
,,slide_129
,,slide_130
,,slide_131
,,slide_132
,,slide_14
,,slide_134
,,slide_135
,,slide_136
,,slide_137
,,slide_139
,,slide_140
,,slide_141
,,slide_142
,,slide_143
,,slide_15
,,slide_145
,,slide_146
,,slide_147
,,slide_148
,,slide_149
,,slide_150
,,slide_151
,,slide_153
,,slide_16
,,slide_154
,,slide_155
,,slide_157
,,slide_158
,,slide_160
,,slide_161
