val,test,train
slide_111,slide_2,
slide_81,slide_3,
slide_107,slide_4,
slide_31,slide_5,
slide_94,slide_6,
slide_88,slide_7,
slide_41,slide_8,
slide_19,slide_9,
slide_96,slide_10,
slide_45,slide_11,
slide_61,slide_12,
slide_48,slide_13,
slide_100,slide_14,
slide_113,slide_16,
slide_72,slide_18,
slide_99,slide_20,
,slide_21,
,slide_22,
,slide_23,
,slide_24,
,slide_25,
,slide_26,
,slide_28,
,slide_29,
,slide_30,
,slide_32,
,slide_33,
,slide_34,
,slide_35,
,slide_36,
,slide_37,
,slide_38,
,slide_39,
,slide_43,
,slide_44,
,slide_46,
,slide_50,
,slide_51,
,slide_53,
,slide_54,
,slide_56,
,slide_57,
,slide_58,
,slide_60,
,slide_62,
,slide_63,
,slide_64,
,slide_65,
,slide_66,
,slide_67,
,slide_68,
,slide_69,
,slide_70,
,slide_73,
,slide_74,
,slide_75,
,slide_76,
,slide_77,
,slide_78,
,slide_80,
,slide_82,
,slide_83,
,slide_84,
,slide_85,
,slide_86,
,slide_87,
,slide_90,
,slide_91,
,slide_93,
,slide_95,
,slide_97,
,slide_101,
,slide_103,
,slide_105,
,slide_106,
,slide_108,
,slide_109,
,slide_110,
,slide_112,
,slide_114,
,slide_115,
,slide_116,
,slide_117,
,slide_118,
,slide_119,
,slide_120,
,slide_121,
,slide_122,
,slide_123,
,slide_124,
,slide_125,
,slide_126,
,slide_127,
