,train,val,test
0,slide_816,slide_861,slide_901
1,slide_818,slide_830,slide_850
2,slide_820,slide_926,slide_827
3,slide_821,slide_934,slide_859
4,slide_822,slide_817,slide_872
5,slide_823,slide_863,slide_905
6,slide_824,slide_918,slide_864
7,slide_826,slide_858,slide_930
8,slide_828,slide_876,slide_936
9,slide_831,slide_914,slide_880
10,slide_832,slide_891,slide_894
11,slide_833,slide_9,slide_228
12,slide_834,slide_303,slide_400
13,slide_835,slide_346,slide_466
14,slide_836,slide_229,slide_92
15,slide_837,slide_182,slide_486
16,slide_838,slide_364,slide_280
17,slide_839,slide_253,slide_488
18,slide_841,slide_464,slide_21
19,slide_842,slide_428,slide_333
20,slide_843,slide_394,slide_481
21,slide_845,slide_268,slide_478
22,slide_846,slide_71,slide_15
23,slide_847,slide_126,slide_370
24,slide_848,slide_125,slide_238
25,slide_849,slide_230,slide_357
26,slide_851,slide_454,slide_283
27,slide_853,slide_393,slide_328
28,slide_854,slide_260,slide_329
29,slide_855,slide_214,slide_245
30,slide_856,slide_272,slide_56
31,slide_860,slide_206,slide_455
32,slide_865,slide_288,slide_25
33,slide_866,slide_330,slide_376
34,slide_867,slide_168,slide_112
35,slide_868,slide_13,slide_369
36,slide_869,slide_49,slide_108
37,slide_870,slide_115,slide_138
38,slide_871,slide_387,slide_336
39,slide_873,slide_192,slide_435
40,slide_874,slide_209,slide_433
41,slide_875,slide_332,slide_461
42,slide_877,slide_190,slide_221
43,slide_878,slide_350,slide_43
44,slide_879,slide_157,slide_52
45,slide_881,slide_162,slide_6
46,slide_882,slide_263,slide_250
47,slide_883,slide_278,slide_300
48,slide_885,slide_177,slide_457
49,slide_886,slide_34,slide_3
50,slide_887,slide_14,slide_22
51,slide_888,slide_28,slide_99
52,slide_889,slide_353,slide_467
53,slide_892,slide_324,slide_233
54,slide_893,slide_317,slide_133
55,slide_895,slide_295,slide_123
56,slide_896,slide_232,slide_424
57,slide_897,slide_508,slide_136
58,slide_898,slide_429,slide_55
59,slide_899,slide_443,slide_188
60,slide_902,slide_90,slide_50
61,slide_903,slide_286,slide_143
62,slide_904,slide_519,slide_420
63,slide_906,slide_730,slide_692
64,slide_907,slide_662,slide_803
65,slide_908,slide_637,slide_700
66,slide_909,slide_715,slide_691
67,slide_910,slide_738,slide_566
68,slide_911,slide_618,slide_567
69,slide_912,slide_814,slide_568
70,slide_915,slide_648,slide_569
71,slide_916,slide_737,slide_570
72,slide_917,slide_533,slide_571
73,slide_919,slide_522,slide_572
74,slide_920,slide_779,slide_573
75,slide_921,slide_655,slide_574
76,slide_922,slide_780,slide_683
77,slide_923,slide_716,slide_621
78,slide_924,slide_619,slide_628
79,slide_925,slide_708,slide_631
80,slide_927,slide_563,slide_645
81,slide_928,slide_729,slide_602
82,slide_929,slide_529,slide_805
83,slide_931,slide_704,slide_760
84,slide_932,slide_810,slide_611
85,slide_933,slide_521,slide_604
86,slide_935,slide_718,slide_596
87,slide_0,slide_701,slide_653
88,slide_1,slide_583,slide_656
89,slide_11,,slide_782
90,slide_104,,slide_783
91,slide_105,,slide_806
92,slide_106,,slide_642
93,slide_107,,slide_658
94,slide_109,,slide_622
95,slide_110,,slide_635
96,slide_111,,slide_523
97,slide_113,,slide_534
98,slide_12,,slide_535
99,slide_114,,slide_536
100,slide_116,,slide_537
101,slide_117,,slide_538
102,slide_118,,slide_539
103,slide_119,,slide_540
104,slide_120,,slide_724
105,slide_121,,
106,slide_122,,
107,slide_124,,
108,slide_127,,
109,slide_128,,
110,slide_129,,
111,slide_130,,
112,slide_131,,
113,slide_132,,
114,slide_134,,
115,slide_135,,
116,slide_137,,
117,slide_139,,
118,slide_140,,
119,slide_141,,
120,slide_142,,
121,slide_144,,
122,slide_145,,
123,slide_146,,
124,slide_147,,
125,slide_148,,
126,slide_149,,
127,slide_150,,
128,slide_151,,
129,slide_152,,
130,slide_153,,
131,slide_16,,
132,slide_154,,
133,slide_155,,
134,slide_156,,
135,slide_158,,
136,slide_159,,
137,slide_160,,
138,slide_161,,
139,slide_163,,
140,slide_17,,
141,slide_164,,
142,slide_165,,
143,slide_166,,
144,slide_167,,
145,slide_169,,
146,slide_170,,
147,slide_171,,
148,slide_172,,
149,slide_173,,
150,slide_18,,
151,slide_174,,
152,slide_175,,
153,slide_176,,
154,slide_178,,
155,slide_179,,
156,slide_180,,
157,slide_181,,
158,slide_183,,
159,slide_19,,
160,slide_184,,
161,slide_185,,
162,slide_186,,
163,slide_187,,
164,slide_189,,
165,slide_191,,
166,slide_193,,
167,slide_20,,
168,slide_194,,
169,slide_195,,
170,slide_196,,
171,slide_197,,
172,slide_198,,
173,slide_199,,
174,slide_200,,
175,slide_201,,
176,slide_202,,
177,slide_203,,
178,slide_2,,
179,slide_204,,
180,slide_205,,
181,slide_207,,
182,slide_208,,
183,slide_210,,
184,slide_211,,
185,slide_212,,
186,slide_213,,
187,slide_215,,
188,slide_216,,
189,slide_217,,
190,slide_218,,
191,slide_219,,
192,slide_220,,
193,slide_222,,
194,slide_223,,
195,slide_23,,
196,slide_224,,
197,slide_225,,
198,slide_226,,
199,slide_227,,
200,slide_231,,
201,slide_24,,
202,slide_234,,
203,slide_235,,
204,slide_236,,
205,slide_237,,
206,slide_239,,
207,slide_240,,
208,slide_241,,
209,slide_242,,
210,slide_243,,
211,slide_244,,
212,slide_246,,
213,slide_247,,
214,slide_248,,
215,slide_249,,
216,slide_251,,
217,slide_252,,
218,slide_26,,
219,slide_254,,
220,slide_255,,
221,slide_256,,
222,slide_257,,
223,slide_258,,
224,slide_259,,
225,slide_261,,
226,slide_262,,
227,slide_27,,
228,slide_264,,
229,slide_265,,
230,slide_266,,
231,slide_267,,
232,slide_269,,
233,slide_270,,
234,slide_271,,
235,slide_273,,
236,slide_274,,
237,slide_275,,
238,slide_276,,
239,slide_277,,
240,slide_279,,
241,slide_281,,
242,slide_282,,
243,slide_29,,
244,slide_284,,
245,slide_285,,
246,slide_287,,
247,slide_289,,
248,slide_290,,
249,slide_291,,
250,slide_292,,
251,slide_293,,
252,slide_30,,
253,slide_294,,
254,slide_296,,
255,slide_297,,
256,slide_298,,
257,slide_299,,
258,slide_301,,
259,slide_302,,
260,slide_31,,
261,slide_304,,
262,slide_305,,
263,slide_306,,
264,slide_307,,
265,slide_308,,
266,slide_309,,
267,slide_310,,
268,slide_311,,
269,slide_312,,
270,slide_313,,
271,slide_32,,
272,slide_314,,
273,slide_315,,
274,slide_316,,
275,slide_318,,
276,slide_319,,
277,slide_320,,
278,slide_321,,
279,slide_322,,
280,slide_323,,
281,slide_33,,
282,slide_325,,
283,slide_326,,
284,slide_327,,
285,slide_331,,
286,slide_334,,
287,slide_335,,
288,slide_337,,
289,slide_338,,
290,slide_339,,
291,slide_340,,
292,slide_341,,
293,slide_342,,
294,slide_343,,
295,slide_344,,
296,slide_35,,
297,slide_345,,
298,slide_347,,
299,slide_348,,
300,slide_349,,
301,slide_351,,
302,slide_352,,
303,slide_354,,
304,slide_36,,
305,slide_355,,
306,slide_356,,
307,slide_358,,
308,slide_359,,
309,slide_360,,
310,slide_361,,
311,slide_362,,
312,slide_363,,
313,slide_37,,
314,slide_365,,
315,slide_366,,
316,slide_367,,
317,slide_368,,
318,slide_371,,
319,slide_372,,
320,slide_373,,
321,slide_374,,
322,slide_38,,
323,slide_375,,
324,slide_377,,
325,slide_378,,
326,slide_379,,
327,slide_380,,
328,slide_381,,
329,slide_382,,
330,slide_383,,
331,slide_384,,
332,slide_39,,
333,slide_385,,
334,slide_386,,
335,slide_388,,
336,slide_389,,
337,slide_390,,
338,slide_391,,
339,slide_392,,
340,slide_40,,
341,slide_395,,
342,slide_396,,
343,slide_397,,
344,slide_398,,
345,slide_399,,
346,slide_401,,
347,slide_402,,
348,slide_403,,
349,slide_404,,
350,slide_4,,
351,slide_5,,
352,slide_41,,
353,slide_405,,
354,slide_406,,
355,slide_407,,
356,slide_408,,
357,slide_409,,
358,slide_410,,
359,slide_411,,
360,slide_412,,
361,slide_413,,
362,slide_414,,
363,slide_42,,
364,slide_415,,
365,slide_416,,
366,slide_417,,
367,slide_418,,
368,slide_419,,
369,slide_421,,
370,slide_422,,
371,slide_423,,
372,slide_425,,
373,slide_426,,
374,slide_427,,
375,slide_430,,
376,slide_431,,
377,slide_432,,
378,slide_434,,
379,slide_44,,
380,slide_436,,
381,slide_437,,
382,slide_438,,
383,slide_439,,
384,slide_440,,
385,slide_441,,
386,slide_442,,
387,slide_444,,
388,slide_445,,
389,slide_45,,
390,slide_446,,
391,slide_447,,
392,slide_448,,
393,slide_449,,
394,slide_450,,
395,slide_451,,
396,slide_452,,
397,slide_453,,
398,slide_46,,
399,slide_456,,
400,slide_458,,
401,slide_459,,
402,slide_460,,
403,slide_462,,
404,slide_463,,
405,slide_465,,
406,slide_47,,
407,slide_468,,
408,slide_469,,
409,slide_470,,
410,slide_471,,
411,slide_472,,
412,slide_473,,
413,slide_474,,
414,slide_475,,
415,slide_48,,
416,slide_476,,
417,slide_477,,
418,slide_479,,
419,slide_480,,
420,slide_482,,
421,slide_483,,
422,slide_484,,
423,slide_485,,
424,slide_487,,
425,slide_489,,
426,slide_490,,
427,slide_491,,
428,slide_492,,
429,slide_493,,
430,slide_494,,
431,slide_495,,
432,slide_496,,
433,slide_497,,
434,slide_498,,
435,slide_499,,
436,slide_500,,
437,slide_501,,
438,slide_502,,
439,slide_503,,
440,slide_504,,
441,slide_505,,
442,slide_51,,
443,slide_506,,
444,slide_507,,
445,slide_509,,
446,slide_510,,
447,slide_511,,
448,slide_512,,
449,slide_513,,
450,slide_514,,
451,slide_515,,
452,slide_516,,
453,slide_517,,
454,slide_518,,
455,slide_53,,
456,slide_54,,
457,slide_57,,
458,slide_58,,
459,slide_59,,
460,slide_60,,
461,slide_7,,
462,slide_61,,
463,slide_62,,
464,slide_63,,
465,slide_64,,
466,slide_65,,
467,slide_66,,
468,slide_67,,
469,slide_68,,
470,slide_69,,
471,slide_70,,
472,slide_8,,
473,slide_72,,
474,slide_73,,
475,slide_74,,
476,slide_75,,
477,slide_76,,
478,slide_77,,
479,slide_78,,
480,slide_79,,
481,slide_80,,
482,slide_81,,
483,slide_82,,
484,slide_83,,
485,slide_84,,
486,slide_85,,
487,slide_86,,
488,slide_87,,
489,slide_88,,
490,slide_89,,
491,slide_91,,
492,slide_93,,
493,slide_10,,
494,slide_94,,
495,slide_95,,
496,slide_96,,
497,slide_97,,
498,slide_98,,
499,slide_100,,
500,slide_101,,
501,slide_102,,
502,slide_103,,
503,slide_520,,
504,slide_524,,
505,slide_525,,
506,slide_526,,
507,slide_527,,
508,slide_528,,
509,slide_530,,
510,slide_531,,
511,slide_532,,
512,slide_541,,
513,slide_542,,
514,slide_543,,
515,slide_544,,
516,slide_545,,
517,slide_546,,
518,slide_547,,
519,slide_548,,
520,slide_549,,
521,slide_550,,
522,slide_551,,
523,slide_552,,
524,slide_553,,
525,slide_554,,
526,slide_555,,
527,slide_556,,
528,slide_557,,
529,slide_558,,
530,slide_559,,
531,slide_560,,
532,slide_561,,
533,slide_562,,
534,slide_564,,
535,slide_565,,
536,slide_575,,
537,slide_576,,
538,slide_577,,
539,slide_578,,
540,slide_579,,
541,slide_580,,
542,slide_581,,
543,slide_582,,
544,slide_584,,
545,slide_585,,
546,slide_586,,
547,slide_587,,
548,slide_588,,
549,slide_589,,
550,slide_590,,
551,slide_591,,
552,slide_592,,
553,slide_593,,
554,slide_594,,
555,slide_595,,
556,slide_597,,
557,slide_598,,
558,slide_599,,
559,slide_600,,
560,slide_601,,
561,slide_603,,
562,slide_605,,
563,slide_606,,
564,slide_607,,
565,slide_608,,
566,slide_609,,
567,slide_610,,
568,slide_612,,
569,slide_613,,
570,slide_614,,
571,slide_615,,
572,slide_616,,
573,slide_617,,
574,slide_620,,
575,slide_623,,
576,slide_624,,
577,slide_625,,
578,slide_626,,
579,slide_627,,
580,slide_629,,
581,slide_630,,
582,slide_632,,
583,slide_633,,
584,slide_634,,
585,slide_636,,
586,slide_638,,
587,slide_639,,
588,slide_640,,
589,slide_641,,
590,slide_643,,
591,slide_644,,
592,slide_646,,
593,slide_647,,
594,slide_649,,
595,slide_650,,
596,slide_651,,
597,slide_652,,
598,slide_654,,
599,slide_657,,
600,slide_659,,
601,slide_660,,
602,slide_661,,
603,slide_663,,
604,slide_664,,
605,slide_665,,
606,slide_666,,
607,slide_667,,
608,slide_668,,
609,slide_669,,
610,slide_670,,
611,slide_671,,
612,slide_672,,
613,slide_673,,
614,slide_674,,
615,slide_675,,
616,slide_676,,
617,slide_677,,
618,slide_678,,
619,slide_679,,
620,slide_680,,
621,slide_681,,
622,slide_682,,
623,slide_684,,
624,slide_685,,
625,slide_686,,
626,slide_687,,
627,slide_688,,
628,slide_689,,
629,slide_690,,
630,slide_693,,
631,slide_694,,
632,slide_695,,
633,slide_696,,
634,slide_697,,
635,slide_698,,
636,slide_699,,
637,slide_702,,
638,slide_703,,
639,slide_705,,
640,slide_706,,
641,slide_707,,
642,slide_709,,
643,slide_710,,
644,slide_711,,
645,slide_712,,
646,slide_713,,
647,slide_714,,
648,slide_717,,
649,slide_719,,
650,slide_720,,
651,slide_721,,
652,slide_722,,
653,slide_723,,
654,slide_725,,
655,slide_726,,
656,slide_727,,
657,slide_728,,
658,slide_731,,
659,slide_732,,
660,slide_733,,
661,slide_734,,
662,slide_735,,
663,slide_736,,
664,slide_739,,
665,slide_740,,
666,slide_741,,
667,slide_742,,
668,slide_743,,
669,slide_744,,
670,slide_745,,
671,slide_746,,
672,slide_747,,
673,slide_748,,
674,slide_749,,
675,slide_750,,
676,slide_751,,
677,slide_752,,
678,slide_753,,
679,slide_754,,
680,slide_755,,
681,slide_756,,
682,slide_757,,
683,slide_758,,
684,slide_759,,
685,slide_761,,
686,slide_762,,
687,slide_763,,
688,slide_764,,
689,slide_765,,
690,slide_766,,
691,slide_767,,
692,slide_768,,
693,slide_769,,
694,slide_770,,
695,slide_771,,
696,slide_772,,
697,slide_773,,
698,slide_774,,
699,slide_775,,
700,slide_776,,
701,slide_777,,
702,slide_778,,
703,slide_781,,
704,slide_784,,
705,slide_785,,
706,slide_786,,
707,slide_787,,
708,slide_788,,
709,slide_789,,
710,slide_790,,
711,slide_791,,
712,slide_792,,
713,slide_793,,
714,slide_794,,
715,slide_795,,
716,slide_796,,
717,slide_797,,
718,slide_798,,
719,slide_799,,
720,slide_800,,
721,slide_801,,
722,slide_802,,
723,slide_804,,
724,slide_807,,
725,slide_808,,
726,slide_809,,
727,slide_811,,
728,slide_812,,
729,slide_813,,
730,slide_815,,
