,train,val,test
0,slide_820,slide_928,slide_910
1,slide_821,slide_918,slide_886
2,slide_823,slide_920,slide_891
3,slide_824,slide_917,slide_859
4,slide_826,slide_929,slide_848
5,slide_827,slide_879,slide_866
6,slide_828,slide_916,slide_850
7,slide_830,slide_878,slide_912
8,slide_832,slide_872,slide_822
9,slide_833,slide_892,slide_838
10,slide_834,slide_882,slide_817
11,slide_835,slide_818,slide_858
12,slide_836,slide_915,slide_871
13,slide_837,slide_930,slide_831
14,slide_839,slide_880,slide_897
15,slide_841,slide_923,slide_816
16,slide_842,slide_490,slide_494
17,slide_843,slide_123,slide_240
18,slide_845,slide_273,slide_151
19,slide_846,slide_144,slide_192
20,slide_847,slide_453,slide_224
21,slide_849,slide_170,slide_154
22,slide_851,slide_120,slide_194
23,slide_853,slide_513,slide_387
24,slide_854,slide_215,slide_366
25,slide_855,slide_90,slide_285
26,slide_856,slide_56,slide_342
27,slide_860,slide_57,slide_498
28,slide_861,slide_236,slide_55
29,slide_863,slide_139,slide_267
30,slide_864,slide_46,slide_451
31,slide_865,slide_376,slide_464
32,slide_867,slide_218,slide_23
33,slide_868,slide_350,slide_58
34,slide_869,slide_67,slide_320
35,slide_870,slide_175,slide_22
36,slide_873,slide_68,slide_241
37,slide_874,slide_239,slide_318
38,slide_875,slide_152,slide_322
39,slide_876,slide_20,slide_309
40,slide_877,slide_161,slide_515
41,slide_881,slide_208,slide_214
42,slide_883,slide_282,slide_503
43,slide_885,slide_155,slide_346
44,slide_887,slide_167,slide_369
45,slide_888,slide_16,slide_128
46,slide_889,slide_119,slide_280
47,slide_893,slide_38,slide_234
48,slide_894,slide_156,slide_261
49,slide_895,slide_258,slide_324
50,slide_896,slide_223,slide_392
51,slide_898,slide_153,slide_462
52,slide_899,slide_444,slide_505
53,slide_901,slide_325,slide_32
54,slide_902,slide_264,slide_293
55,slide_903,slide_394,slide_8
56,slide_904,slide_323,slide_178
57,slide_905,slide_207,slide_201
58,slide_906,slide_380,slide_294
59,slide_907,slide_247,slide_212
60,slide_908,slide_96,slide_100
61,slide_909,slide_412,slide_374
62,slide_911,slide_457,slide_347
63,slide_914,slide_475,slide_445
64,slide_919,slide_162,slide_33
65,slide_921,slide_279,slide_438
66,slide_922,slide_35,slide_48
67,slide_924,slide_238,slide_210
68,slide_925,slide_349,slide_268
69,slide_926,slide_386,slide_235
70,slide_927,slide_245,slide_443
71,slide_931,slide_516,slide_193
72,slide_932,slide_14,slide_107
73,slide_933,slide_281,slide_0
74,slide_934,slide_185,slide_126
75,slide_935,slide_257,slide_86
76,slide_936,slide_362,slide_87
77,slide_1,slide_83,slide_88
78,slide_11,slide_34,slide_344
79,slide_104,slide_418,slide_158
80,slide_105,slide_229,slide_249
81,slide_106,slide_45,slide_95
82,slide_108,slide_426,slide_206
83,slide_109,slide_164,slide_146
84,slide_110,slide_60,slide_458
85,slide_111,slide_72,slide_311
86,slide_112,slide_12,slide_71
87,slide_113,slide_196,slide_4
88,slide_114,slide_124,slide_5
89,slide_115,slide_373,slide_169
90,slide_116,slide_385,slide_382
91,slide_117,slide_85,slide_365
92,slide_118,slide_10,slide_2
93,slide_121,slide_627,slide_98
94,slide_122,slide_663,slide_216
95,slide_13,slide_734,slide_246
96,slide_125,slide_751,slide_699
97,slide_127,slide_690,slide_546
98,slide_129,slide_759,slide_547
99,slide_130,slide_804,slide_806
100,slide_131,slide_710,slide_661
101,slide_132,slide_757,slide_800
102,slide_133,slide_589,slide_524
103,slide_134,slide_564,slide_793
104,slide_135,slide_718,slide_720
105,slide_136,slide_762,slide_713
106,slide_137,slide_815,slide_736
107,slide_138,slide_755,slide_606
108,slide_140,slide_729,slide_722
109,slide_141,slide_583,slide_749
110,slide_142,slide_604,slide_731
111,slide_143,slide_746,slide_732
112,slide_15,slide_527,slide_679
113,slide_145,slide_705,slide_611
114,slide_147,slide_576,slide_776
115,slide_148,slide_789,slide_700
116,slide_149,slide_552,slide_772
117,slide_150,slide_745,slide_652
118,slide_157,slide_530,slide_638
119,slide_159,slide_525,slide_521
120,slide_160,slide_596,slide_662
121,slide_163,slide_522,slide_765
122,slide_17,slide_695,slide_735
123,slide_165,slide_694,slide_723
124,slide_166,slide_701,slide_642
125,slide_168,slide_728,slide_541
126,slide_171,slide_559,slide_702
127,slide_172,slide_670,slide_620
128,slide_173,slide_743,slide_708
129,slide_18,slide_563,slide_649
130,slide_174,slide_593,slide_607
131,slide_176,slide_706,slide_533
132,slide_177,slide_791,slide_737
133,slide_179,slide_532,slide_610
134,slide_180,,slide_801
135,slide_181,,slide_531
136,slide_182,,slide_560
137,slide_183,,slide_769
138,slide_19,,slide_594
139,slide_184,,
140,slide_186,,
141,slide_187,,
142,slide_188,,
143,slide_189,,
144,slide_190,,
145,slide_191,,
146,slide_195,,
147,slide_197,,
148,slide_198,,
149,slide_199,,
150,slide_200,,
151,slide_202,,
152,slide_203,,
153,slide_21,,
154,slide_204,,
155,slide_205,,
156,slide_209,,
157,slide_211,,
158,slide_213,,
159,slide_217,,
160,slide_219,,
161,slide_220,,
162,slide_221,,
163,slide_222,,
164,slide_225,,
165,slide_226,,
166,slide_227,,
167,slide_228,,
168,slide_230,,
169,slide_231,,
170,slide_232,,
171,slide_233,,
172,slide_24,,
173,slide_237,,
174,slide_242,,
175,slide_243,,
176,slide_25,,
177,slide_244,,
178,slide_248,,
179,slide_250,,
180,slide_251,,
181,slide_252,,
182,slide_253,,
183,slide_26,,
184,slide_254,,
185,slide_255,,
186,slide_256,,
187,slide_259,,
188,slide_260,,
189,slide_262,,
190,slide_263,,
191,slide_27,,
192,slide_265,,
193,slide_266,,
194,slide_269,,
195,slide_270,,
196,slide_271,,
197,slide_272,,
198,slide_28,,
199,slide_274,,
200,slide_275,,
201,slide_276,,
202,slide_277,,
203,slide_278,,
204,slide_283,,
205,slide_29,,
206,slide_284,,
207,slide_286,,
208,slide_287,,
209,slide_288,,
210,slide_289,,
211,slide_290,,
212,slide_291,,
213,slide_292,,
214,slide_30,,
215,slide_295,,
216,slide_296,,
217,slide_297,,
218,slide_298,,
219,slide_299,,
220,slide_300,,
221,slide_301,,
222,slide_302,,
223,slide_303,,
224,slide_3,,
225,slide_31,,
226,slide_304,,
227,slide_305,,
228,slide_306,,
229,slide_307,,
230,slide_308,,
231,slide_310,,
232,slide_312,,
233,slide_313,,
234,slide_314,,
235,slide_315,,
236,slide_316,,
237,slide_317,,
238,slide_319,,
239,slide_321,,
240,slide_326,,
241,slide_327,,
242,slide_328,,
243,slide_329,,
244,slide_330,,
245,slide_331,,
246,slide_332,,
247,slide_333,,
248,slide_334,,
249,slide_335,,
250,slide_336,,
251,slide_337,,
252,slide_338,,
253,slide_339,,
254,slide_340,,
255,slide_341,,
256,slide_343,,
257,slide_345,,
258,slide_348,,
259,slide_351,,
260,slide_352,,
261,slide_353,,
262,slide_354,,
263,slide_36,,
264,slide_355,,
265,slide_356,,
266,slide_357,,
267,slide_358,,
268,slide_359,,
269,slide_360,,
270,slide_361,,
271,slide_363,,
272,slide_364,,
273,slide_37,,
274,slide_367,,
275,slide_368,,
276,slide_370,,
277,slide_371,,
278,slide_372,,
279,slide_375,,
280,slide_377,,
281,slide_378,,
282,slide_379,,
283,slide_381,,
284,slide_383,,
285,slide_384,,
286,slide_39,,
287,slide_388,,
288,slide_389,,
289,slide_390,,
290,slide_391,,
291,slide_393,,
292,slide_40,,
293,slide_395,,
294,slide_396,,
295,slide_397,,
296,slide_398,,
297,slide_399,,
298,slide_400,,
299,slide_401,,
300,slide_402,,
301,slide_403,,
302,slide_404,,
303,slide_41,,
304,slide_405,,
305,slide_406,,
306,slide_407,,
307,slide_408,,
308,slide_409,,
309,slide_410,,
310,slide_411,,
311,slide_413,,
312,slide_414,,
313,slide_42,,
314,slide_415,,
315,slide_416,,
316,slide_417,,
317,slide_419,,
318,slide_420,,
319,slide_421,,
320,slide_422,,
321,slide_423,,
322,slide_424,,
323,slide_425,,
324,slide_43,,
325,slide_427,,
326,slide_428,,
327,slide_429,,
328,slide_430,,
329,slide_431,,
330,slide_432,,
331,slide_433,,
332,slide_434,,
333,slide_435,,
334,slide_44,,
335,slide_436,,
336,slide_437,,
337,slide_439,,
338,slide_440,,
339,slide_441,,
340,slide_442,,
341,slide_446,,
342,slide_447,,
343,slide_448,,
344,slide_449,,
345,slide_450,,
346,slide_452,,
347,slide_454,,
348,slide_455,,
349,slide_456,,
350,slide_459,,
351,slide_460,,
352,slide_461,,
353,slide_463,,
354,slide_465,,
355,slide_47,,
356,slide_466,,
357,slide_467,,
358,slide_468,,
359,slide_469,,
360,slide_470,,
361,slide_471,,
362,slide_472,,
363,slide_473,,
364,slide_474,,
365,slide_476,,
366,slide_477,,
367,slide_478,,
368,slide_479,,
369,slide_480,,
370,slide_481,,
371,slide_482,,
372,slide_483,,
373,slide_484,,
374,slide_485,,
375,slide_49,,
376,slide_486,,
377,slide_487,,
378,slide_488,,
379,slide_489,,
380,slide_491,,
381,slide_492,,
382,slide_493,,
383,slide_495,,
384,slide_50,,
385,slide_496,,
386,slide_497,,
387,slide_499,,
388,slide_500,,
389,slide_501,,
390,slide_502,,
391,slide_504,,
392,slide_6,,
393,slide_51,,
394,slide_506,,
395,slide_507,,
396,slide_508,,
397,slide_509,,
398,slide_510,,
399,slide_511,,
400,slide_512,,
