,train,val,test
slide_818,True,False,False
slide_822,True,False,False
slide_824,True,False,False
slide_826,True,False,False
slide_827,True,False,False
slide_830,True,False,False
slide_831,True,False,False
slide_832,True,False,False
slide_834,True,False,False
slide_836,True,False,False
slide_837,True,False,False
slide_838,True,False,False
slide_839,True,False,False
slide_841,True,False,False
slide_842,True,False,False
slide_843,True,False,False
slide_845,True,False,False
slide_846,True,False,False
slide_850,True,False,False
slide_854,True,False,False
slide_855,True,False,False
slide_856,True,False,False
slide_858,True,False,False
slide_859,True,False,False
slide_860,True,False,False
slide_861,True,False,False
slide_863,True,False,False
slide_864,True,False,False
slide_865,True,False,False
slide_868,True,False,False
slide_869,True,False,False
slide_870,True,False,False
slide_872,True,False,False
slide_875,True,False,False
slide_876,True,False,False
slide_878,True,False,False
slide_879,True,False,False
slide_880,True,False,False
slide_881,True,False,False
slide_882,True,False,False
slide_885,True,False,False
slide_886,True,False,False
slide_888,True,False,False
slide_891,True,False,False
slide_893,True,False,False
slide_894,True,False,False
slide_895,True,False,False
slide_896,True,False,False
slide_897,True,False,False
slide_898,True,False,False
slide_899,True,False,False
slide_901,True,False,False
slide_902,True,False,False
slide_903,True,False,False
slide_904,True,False,False
slide_905,True,False,False
slide_906,True,False,False
slide_907,True,False,False
slide_908,True,False,False
slide_909,True,False,False
slide_910,True,False,False
slide_911,True,False,False
slide_915,True,False,False
slide_916,True,False,False
slide_917,True,False,False
slide_918,True,False,False
slide_920,True,False,False
slide_922,True,False,False
slide_924,True,False,False
slide_926,True,False,False
slide_927,True,False,False
slide_928,True,False,False
slide_929,True,False,False
slide_931,True,False,False
slide_932,True,False,False
slide_933,True,False,False
slide_934,True,False,False
slide_104,True,False,False
slide_105,True,False,False
slide_107,True,False,False
slide_109,True,False,False
slide_112,True,False,False
slide_113,True,False,False
slide_12,True,False,False
slide_115,True,False,False
slide_116,True,False,False
slide_118,True,False,False
slide_119,True,False,False
slide_123,True,False,False
slide_13,True,False,False
slide_124,True,False,False
slide_125,True,False,False
slide_127,True,False,False
slide_128,True,False,False
slide_130,True,False,False
slide_132,True,False,False
slide_133,True,False,False
slide_14,True,False,False
slide_135,True,False,False
slide_136,True,False,False
slide_139,True,False,False
slide_140,True,False,False
slide_141,True,False,False
slide_142,True,False,False
slide_143,True,False,False
slide_15,True,False,False
slide_146,True,False,False
slide_147,True,False,False
slide_148,True,False,False
slide_150,True,False,False
slide_151,True,False,False
slide_152,True,False,False
slide_16,True,False,False
slide_154,True,False,False
slide_157,True,False,False
slide_159,True,False,False
slide_160,True,False,False
slide_161,True,False,False
slide_162,True,False,False
slide_163,True,False,False
slide_17,True,False,False
slide_164,True,False,False
slide_165,True,False,False
slide_167,True,False,False
slide_168,True,False,False
slide_169,True,False,False
slide_170,True,False,False
slide_172,True,False,False
slide_173,True,False,False
slide_18,True,False,False
slide_175,True,False,False
slide_177,True,False,False
slide_178,True,False,False
slide_179,True,False,False
slide_180,True,False,False
slide_181,True,False,False
slide_182,True,False,False
slide_183,True,False,False
slide_19,True,False,False
slide_184,True,False,False
slide_187,True,False,False
slide_191,True,False,False
slide_193,True,False,False
slide_20,True,False,False
slide_196,True,False,False
slide_197,True,False,False
slide_199,True,False,False
slide_200,True,False,False
slide_202,True,False,False
slide_2,True,False,False
slide_205,True,False,False
slide_206,True,False,False
slide_208,True,False,False
slide_209,True,False,False
slide_211,True,False,False
slide_212,True,False,False
slide_22,True,False,False
slide_214,True,False,False
slide_216,True,False,False
slide_217,True,False,False
slide_218,True,False,False
slide_219,True,False,False
slide_221,True,False,False
slide_222,True,False,False
slide_223,True,False,False
slide_23,True,False,False
slide_225,True,False,False
slide_226,True,False,False
slide_227,True,False,False
slide_229,True,False,False
slide_230,True,False,False
slide_231,True,False,False
slide_233,True,False,False
slide_24,True,False,False
slide_234,True,False,False
slide_235,True,False,False
slide_236,True,False,False
slide_239,True,False,False
slide_242,True,False,False
slide_243,True,False,False
slide_25,True,False,False
slide_244,True,False,False
slide_246,True,False,False
slide_248,True,False,False
slide_250,True,False,False
slide_252,True,False,False
slide_253,True,False,False
slide_26,True,False,False
slide_254,True,False,False
slide_257,True,False,False
slide_258,True,False,False
slide_259,True,False,False
slide_260,True,False,False
slide_262,True,False,False
slide_263,True,False,False
slide_264,True,False,False
slide_266,True,False,False
slide_267,True,False,False
slide_269,True,False,False
slide_270,True,False,False
slide_272,True,False,False
slide_28,True,False,False
slide_274,True,False,False
slide_275,True,False,False
slide_276,True,False,False
slide_277,True,False,False
slide_278,True,False,False
slide_279,True,False,False
slide_280,True,False,False
slide_283,True,False,False
slide_29,True,False,False
slide_284,True,False,False
slide_285,True,False,False
slide_287,True,False,False
slide_288,True,False,False
slide_290,True,False,False
slide_291,True,False,False
slide_292,True,False,False
slide_293,True,False,False
slide_30,True,False,False
slide_294,True,False,False
slide_295,True,False,False
slide_296,True,False,False
slide_297,True,False,False
slide_298,True,False,False
slide_299,True,False,False
slide_302,True,False,False
slide_303,True,False,False
slide_31,True,False,False
slide_304,True,False,False
slide_305,True,False,False
slide_306,True,False,False
slide_307,True,False,False
slide_308,True,False,False
slide_311,True,False,False
slide_312,True,False,False
slide_313,True,False,False
slide_32,True,False,False
slide_314,True,False,False
slide_315,True,False,False
slide_317,True,False,False
slide_318,True,False,False
slide_321,True,False,False
slide_323,True,False,False
slide_33,True,False,False
slide_325,True,False,False
slide_327,True,False,False
slide_328,True,False,False
slide_329,True,False,False
slide_330,True,False,False
slide_331,True,False,False
slide_332,True,False,False
slide_333,True,False,False
slide_334,True,False,False
slide_34,True,False,False
slide_335,True,False,False
slide_336,True,False,False
slide_338,True,False,False
slide_339,True,False,False
slide_341,True,False,False
slide_342,True,False,False
slide_344,True,False,False
slide_35,True,False,False
slide_347,True,False,False
slide_348,True,False,False
slide_349,True,False,False
